match_id,winner,result,home_team,final_wp,wp_volatility,momentum_volatility,momentum_reversals,peak_batting_wp,avg_run_rate,total_wickets,num_sessions
1000851,South Africa,normal,Unknown,0.13366993456332082,0.2564794646982538,8.547504138177962,4,0.7035901344276801,3.43502386617214,38,12
1000853,South Africa,normal,Unknown,0.7544935551329277,0.29681680498212604,10.913903093750683,3,0.8060942165077418,3.606457445726144,30,8
1000855,Australia,normal,Unknown,0.284478443879347,0.2018055918762057,9.547341420827443,5,0.8115749667108052,3.173133100103023,32,11
1000881,Australia,normal,Unknown,0.12510614777644577,0.36231574246423964,10.412657136696177,4,0.95,3.4723688981551435,35,10
1000883,Australia,normal,Unknown,0.35495972032538514,0.23554654305511763,9.038495597348838,4,0.7960828612002766,3.6145893470256283,27,8
1000885,Australia,normal,Unknown,0.16404368316252385,0.3892205188575255,9.470632907517421,8,0.95,4.282049646666474,30,11
1019985,New Zealand,normal,Unknown,0.95,0.3223874614943246,8.217534510986546,5,0.95,3.9645438196248763,31,10
1019987,New Zealand,normal,Unknown,0.95,0.3130520228437571,8.470536739211997,4,0.95,3.741401679172666,31,9
1019993,New Zealand,normal,Unknown,0.9018078378328535,0.33180436547216136,9.715916437802463,5,0.9234402989197527,3.2128535218639724,32,10
1019995,New Zealand,normal,Unknown,0.2602245149194922,0.18348469362919245,10.71248484870146,8,0.81675471693511,3.1116726243312343,35,12
1020041,draw/no result,normal,Unknown,0.24210174960489267,0.09572826935693914,7.764196444754495,2,0.4304971457737479,2.5711814031773716,26,9
1020043,South Africa,normal,Unknown,0.6664870566954035,0.23665328834859367,3.7669541476583315,5,0.8828318697382989,3.2703279648801766,32,10
1020045,draw/no result,normal,Unknown,0.11950806447217055,0.17450537894004906,12.372676071862927,2,0.5406775719140173,2.9008221621532733,25,8
1022593,India,normal,Unknown,0.10845566603779096,0.339053262368328,8.315879783947857,4,0.8761814139828747,3.0324107004572247,28,9
1022595,draw/no result,normal,Unknown,0.6891447028700982,0.23380211502468554,11.353267883394295,4,0.8238053442035388,3.4122399859620938,25,8
1022597,India,normal,Unknown,0.23563362120951037,0.2618027649444056,8.604313204689493,5,0.9302992852137986,2.7998072190226226,37,10
1022599,draw/no result,normal,Unknown,0.3736952949202065,,,0,0.3736952949202065,2.7969924812030076,2,1
1024041,New Zealand,normal,Unknown,0.5479037149500807,0.21268684290197043,7.092456309704678,5,0.702308476268886,3.000930541884909,26,9
1024043,New Zealand,normal,Unknown,0.05,0.4210774655137617,8.551464797333743,7,0.95,3.1412670303223775,26,11
1029825,England,normal,Unknown,0.3483137651127531,0.12852650468112262,7.043170327813883,7,0.5927871147281165,2.968835987276213,40,12
